SampleID,Pond,DP,Day,Position,Replicate,Astatotilapia_calliptera,Abramis_brama,Alburnus_alburnus,Barbus_barbus,Blicca_bjoerkna,Carassius_auratus,Carassius_carassius,Hypophthalmichthys_molitrix,Leuciscus_idus,Leuciscus_leuciscus,Rutilus_rutilus,Scardinius_erythrophthalmus,Squalius_cephalus,Tinca_tinca,unassigned
E1_D0_Blank1,E1,D0Ctrl,D0,Ctrl,BLANK1,608,5,0,8,0,0,0,0,0,9,0,0,0,0,1425
E1_D0_Neg1,E1,D0Ctrl,D0,Ctrl,NEG1,558,0,0,0,0,0,0,0,0,12,0,0,0,0,212
E1_D0_P1_1,E1,D0P1,D0,P1,1,0,126,0,193,0,0,3,0,3,574,178,0,0,456,780
E1_D0_P1_2,E1,D0P1,D0,P1,2,0,102,0,251,0,0,40,0,3,1283,0,0,0,368,4368
E1_D0_P1_3,E1,D0P1,D0,P1,3,0,648,0,1023,0,0,351,0,0,1553,0,0,0,5,7265
E1_D0_P2_1,E1,D0P2,D0,P2,1,0,686,0,1493,3,0,708,0,4,2779,185,0,0,816,10966
E1_D0_P2_2,E1,D0P2,D0,P2,2,0,529,0,1581,0,0,462,0,4,1431,59,0,0,78,9652
E1_D0_P2_3,E1,D0P2,D0,P2,3,0,4,0,795,0,0,4,0,3,910,234,0,0,207,9880
E1_D0_P3_1,E1,D0P3,D0,P3,1,0,381,0,357,0,0,326,0,0,1043,116,0,0,70,11326
E1_D0_P3_2,E1,D0P3,D0,P3,2,0,543,0,64,0,0,196,0,4,1245,394,0,0,3,13957
E1_D0_P3_3,E1,D0P3,D0,P3,3,0,359,0,878,0,0,235,0,0,226,3,0,0,257,9513
E1_D0_P4_1,E1,D0P4,D0,P4,1,0,0,0,3,0,0,666,0,0,109,237,0,0,713,2629
E1_D0_P4_2,E1,D0P4,D0,P4,2,0,351,0,701,0,0,887,0,5,2086,239,0,0,361,10590
E1_D0_P4_3,E1,D0P4,D0,P4,3,0,229,0,969,0,0,798,0,0,1695,140,0,0,0,8892
E1_D0_P5_1,E1,D0P5,D0,P5,1,147,544,0,704,4,0,571,0,6,2794,178,0,0,194,3237
E1_D0_P5_2,E1,D0P5,D0,P5,2,113,435,0,652,0,0,388,0,4,2008,107,0,0,339,2768
E1_D0_P5_3,E1,D0P5,D0,P5,3,80,109,0,2217,0,0,105,0,5,3385,69,0,0,203,4810
E1_D0_Pos1,E1,D0Ctrl,D0,Ctrl,POS1,169372,3,0,0,0,0,0,0,0,16,0,0,0,0,77524
E1_D02_Blank1,E1,D2Ctrl,D2,Ctrl,BLANK1,505,3,0,0,0,0,3,0,0,12,5,4,0,0,473
E1_D02_Neg1,E1,D2Ctrl,D2,Ctrl,NEG1,589,0,0,8,0,0,0,0,0,14,0,0,0,0,244
E1_D02_P1_1,E1,D2P1,D2,P1,1,0,945,12,1063,4,0,2618,0,9,1963,563,1298,2652,546,9701
