Pond,DP,Day,Position,Species,Value,SD
E1,BioDensity,Density,Bio,BAR,267.99,0
E1,BioDensity,Density,Bio,BRE,152.33,0
E1,BioDensity,Density,Bio,CAR,80.44,0
E1,BioDensity,Density,Bio,CHU,1.3,0
E1,BioDensity,Density,Bio,DAC,123.96,0
E1,BioDensity,Density,Bio,ROA,44.64,0
E1,BioDensity,Density,Bio,RUD,1.09,0
E1,BioDensity,Density,Bio,TEN,59.09,0
E1,IndDensity,Density,Abu,BAR,7245,0
E1,IndDensity,Density,Abu,BRE,6449,0
E1,IndDensity,Density,Abu,CAR,2309,0
E1,IndDensity,Density,Abu,CHU,50,0
E1,IndDensity,Density,Abu,DAC,18544,0
E1,IndDensity,Density,Abu,ROA,3452,0
E1,IndDensity,Density,Abu,RUD,50,0
E1,IndDensity,Density,Abu,TEN,3605,0
E4,BioDensity,Density,Bio,BAR,165.07,0
E4,BioDensity,Density,Bio,BRE,32.33,0
E4,BioDensity,Density,Bio,CAR,79.25,0
E4,BioDensity,Density,Bio,CHU,492.01,0
E4,BioDensity,Density,Bio,DAC,0.99,0
E4,BioDensity,Density,Bio,ROA,355.53,0
E4,BioDensity,Density,Bio,RUD,1.12,0
E4,BioDensity,Density,Bio,TEN,9.28,0
E4,IndDensity,Density,Abu,BAR,4230,0
E4,IndDensity,Density,Abu,BRE,1130,0
E4,IndDensity,Density,Abu,CAR,1766,0
E4,IndDensity,Density,Abu,CHU,16395,0
E4,IndDensity,Density,Abu,DAC,50,0
E4,IndDensity,Density,Abu,ROA,24732,0
E4,IndDensity,Density,Abu,RUD,50,0
E4,IndDensity,Density,Abu,TEN,645,0
