Pond,Species,Date,Number,Biomass
E1,Barbus barbus,Jun-16,9000,97.2
E1,Barbus barbus,Nov-16,6075,330.78
E1,Barbus barbus,Sep-16,7245,250
E1,Abramis brama,Jun-16,7000,17.5
E1,Abramis brama,Nov-16,6081,229.28
E1,Abramis brama,Sep-16,6449,152.33
E1,Carassius carassius,Jun-16,3000,8.55
E1,Carassius carassius,Nov-16,1849,103.82
E1,Carassius carassius,Sep-16,2309,80.44
E1,Leuciscus leuciscus,Jun-16,30000,118.5
E1,Leuciscus leuciscus,Nov-16,10906,127.6
E1,Leuciscus leuciscus,Sep-16,18544,123.96
E1,Rutilus rutilus,Jun-16,5000,22.25
E1,Rutilus rutilus,Nov-16,2420,59.56
E1,Rutilus rutilus,Sep-16,3452,44.64
E1,Tinca tinca,Jun-16,4000,12.2
E1,Tinca tinca,Nov-16,3341,84.49
E1,Tinca tinca,Sep-16,3605,59.09
E4,Barbus barbus,Jun-16,5000,34.25
E4,Barbus barbus,Nov-16,3717,224.77
E4,Barbus barbus,Sep-16,4230,165.07
E4,Abramis brama,Jun-16,1264,3.16
E4,Abramis brama,Nov-16,1041,47.89
E4,Abramis brama,Sep-16,1130,32.33
E4,Carassius carassius,Jun-16,2000,5.7
E4,Carassius carassius,Nov-16,1610,117.35
E4,Carassius carassius,Sep-16,1766,79.25
E4,Squalius cephalus,Jun-16,20000,258.8
E4,Squalius cephalus,Nov-16,13991,600
E4,Squalius cephalus,Sep-16,16395,480
E4,Rutilus rutilus,Jun-16,26532,115.94
E4,Rutilus rutilus,Nov-16,23532,495.25
E4,Rutilus rutilus,Sep-16,24732,355.53
E4,Tinca tinca,Jun-16,2000,12.24
E4,Tinca tinca,Nov-16,333,7.3
E4,Tinca tinca,Sep-16,800,9.28
